,Deciles,pred_sales,Sales_in_thousands
0,9,150.9001451605377,170.77021090909093
1,8,70.65691806025998,80.94990909090909
2,7,48.41861479170521,59.719090909090916
3,6,36.41734761449107,43.79418181818182
4,5,30.645754933855972,51.33639999999999
5,4,25.50389216944143,36.599000000000004
6,3,20.70849318757764,32.13063636363636
7,2,15.128395379873025,19.973181818181818
8,1,11.631402015055107,13.606843636363635
9,0,4.983822782647888,5.382363636363636
